# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: C:\Users\tb\Desktop\vhdl-wordpad\Wordpad.csv
# Generated on: Sat Jun 07 03:49:07 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_116,7,B7_N0,,
,Unknown,PIN_117,7,B7_N0,,
,Unknown,PIN_118,7,B7_N0,,
,Unknown,PIN_119,7,B7_N0,,
,Unknown,PIN_120,,,,
,Unknown,PIN_121,,,,
,Unknown,PIN_122,,,,
,Unknown,PIN_123,,,,
,Unknown,PIN_124,,,,
,Unknown,PIN_125,6,B6_N1,,
,Unknown,PIN_126,6,B6_N1,,
,Unknown,PIN_127,6,B6_N1,,
,Unknown,PIN_128,6,B6_N1,,
,Unknown,PIN_129,6,,,
,Unknown,PIN_130,6,B6_N1,,
,Unknown,PIN_131,6,B6_N1,,
,Unknown,PIN_132,6,B6_N1,,
,Unknown,PIN_133,,,,
,Unknown,PIN_134,6,B6_N1,,
,Unknown,PIN_135,6,B6_N1,,
,Unknown,PIN_136,6,B6_N1,,
,Unknown,PIN_137,6,B6_N1,,
,Unknown,PIN_138,,,,
,Unknown,PIN_139,6,B6_N0,,
,Unknown,PIN_140,6,B6_N0,,
,Unknown,PIN_141,6,B6_N0,,
,Unknown,PIN_142,6,,,
,Unknown,PIN_143,6,B6_N0,,
,Unknown,PIN_144,6,B6_N0,,
,Unknown,PIN_145,,,,
,Unknown,PIN_146,6,B6_N0,,
,Unknown,PIN_147,6,B6_N0,,
,Unknown,PIN_148,,,,
,Unknown,PIN_149,6,B6_N0,,
,Unknown,PIN_150,6,B6_N0,,
,Unknown,PIN_151,6,B6_N0,,
,Unknown,PIN_152,,,,
,Unknown,PIN_154,,,,
,Unknown,PIN_155,5,B5_N1,,
,Unknown,PIN_156,5,B5_N1,,
,Unknown,PIN_157,5,B5_N1,,
,Unknown,PIN_158,,,,
,Unknown,PIN_159,5,B5_N1,,
,Unknown,PIN_160,5,,,
,Unknown,PIN_161,5,B5_N1,,
,Unknown,PIN_162,5,B5_N1,,
,Unknown,PIN_163,,,,
,Unknown,PIN_164,5,B5_N1,,
,Unknown,PIN_165,5,B5_N1,,
,Unknown,PIN_166,5,B5_N1,,
,Unknown,PIN_167,5,B5_N1,,
,Unknown,PIN_168,5,B5_N1,,
,Unknown,PIN_169,,,,
,Unknown,PIN_170,5,B5_N0,,
,Unknown,PIN_171,5,B5_N0,,
,Unknown,PIN_172,,,,
,Unknown,PIN_173,5,B5_N0,,
,Unknown,PIN_174,5,B5_N0,,
,Unknown,PIN_175,5,B5_N0,,
,Unknown,PIN_176,5,,,
,Unknown,PIN_177,5,B5_N0,,
,Unknown,PIN_178,5,B5_N0,,
,Unknown,PIN_179,,,,
,Unknown,PIN_180,,,,
,Unknown,PIN_181,,,,
,Unknown,PIN_182,,,,
,Unknown,PIN_183,,,,
,Unknown,PIN_184,4,B4_N0,,
,Unknown,PIN_185,4,B4_N0,,
,Unknown,PIN_186,4,B4_N0,,
,Unknown,PIN_187,4,B4_N0,,
,Unknown,PIN_188,4,B4_N0,,
,Unknown,PIN_189,4,B4_N0,,
,Unknown,PIN_190,4,,,
,Unknown,PIN_193,,,,
,Unknown,PIN_196,,,,
,Unknown,PIN_197,4,B4_N0,,
,Unknown,PIN_198,,,,
,Unknown,PIN_199,4,B4_N1,,
,Unknown,PIN_200,4,B4_N1,,
,Unknown,PIN_201,,,,
,Unknown,PIN_202,,,,
,Unknown,PIN_203,4,B4_N1,,
,Unknown,PIN_204,,,,
,Unknown,PIN_205,,,,
,Unknown,PIN_206,,,,
,Unknown,PIN_207,4,,,
,Unknown,PIN_208,4,B4_N1,,
,Unknown,PIN_209,4,B4_N1,,
,Unknown,PIN_211,,,,
,Unknown,PIN_212,3,B3_N0,,
,Unknown,PIN_213,3,B3_N0,,
,Unknown,PIN_214,3,B3_N0,,
,Unknown,PIN_215,,,,
,Unknown,PIN_216,3,B3_N0,,
,Unknown,PIN_217,,,,
,Unknown,PIN_218,3,B3_N0,,
,Unknown,PIN_219,3,,,
,Unknown,PIN_220,,,,
,Unknown,PIN_221,,,,
,Unknown,PIN_222,3,B3_N0,,
,Unknown,PIN_223,3,B3_N0,,
,Unknown,PIN_224,,,,
,Unknown,PIN_225,,,,
,Unknown,PIN_227,,,,
,Unknown,PIN_229,3,,,
,Unknown,PIN_239,,,,
,Unknown,PIN_240,,,,
